asv_key,sampleid,count,count_relative
asv_1,1361G,34031,0.8389665458669231
asv_30,1361G,115,0.00283509602346966
asv_4,1361G,61,0.0015038335428839
asv_1678,1361G,10,2.465300889973621e-4
asv_112,1361G,20,4.930601779947242e-4
asv_33138,1361G,6212,0.15314449128516136
asv_177,1361G,4,9.861203559894484e-5
asv_891,1361G,38,9.36814338189976e-4
asv_6,1361G,33,8.13549293691295e-4
asv_411,1361G,3,7.395902669920864e-5
asv_7,1361G,4,9.861203559894484e-5
asv_249,1361G,8,1.972240711978897e-4
asv_8138,1361G,10,2.465300889973621e-4
asv_23240,1361G,6,1.4791805339841728e-4
asv_2021,1361G,5,1.2326504449868106e-4
asv_19699,1361G,3,7.395902669920864e-5
asv_1,1361H,46340,0.9120610927413004
asv_15,1361H,979,0.01926861911509998
asv_322,1361H,18,3.5427491733585264e-4
asv_401,1361H,432,0.00850259801606046
asv_4,1361H,17,3.345929774838608e-4
asv_112,1361H,154,0.00303101873720673
asv_177,1361H,54,0.00106282475200755
asv_78,1361H,4,7.872775940796725e-5
asv_1003,1361H,8,1.574555188159345e-4
asv_98,1361H,13,2.558652180758936e-4
asv_9565,1361H,8,1.574555188159345e-4
asv_1939,1361H,4,7.872775940796725e-5
asv_2493,1361H,11,2.165013383719099e-4
asv_43,1361H,336,0.00661313179026924
asv_4233,1361H,2135,0.04202094158400252
asv_282,1361H,278,0.00547157927885372
asv_938,1361H,17,3.345929774838608e-4
asv_1,1361I,21272,0.4246077687732045
asv_25,1361I,6451,0.1287676154736716
asv_15,1361I,6,1.1976526009022317e-4
asv_324,1361I,21,4.1917841031578106e-4
asv_322,1361I,16,3.193740269072618e-4
asv_218,1361I,6,1.1976526009022317e-4
asv_42,1361I,195,0.00389237095293225
asv_18,1361I,564,0.01125793444848097
asv_4,1361I,561,0.01119805181843586
asv_330,1361I,16605,0.3314503572996926
asv_1424,1361I,19,3.792566569523733e-4
asv_1864,1361I,9,1.7964789013533475e-4
asv_528,1361I,50,9.98043834085193e-4
