Level.code	Main.food.description	n_digits	source	usda_fndds_description	used_in_F1d_tree
1	Milk_and_Milk_Products	1	usda_fndds	Milk and Milk Products	TRUE
11	Milks_and_milk_drinks	2	usda_fndds	Milks and milk drinks	TRUE
110	Milk_human	3	usda_fndds	Milk, human	FALSE
111	Milk_fluid	3	usda_fndds	Milk, fluid (regular; filled; buttermilk; and dry reconstituted)	TRUE
1111	Milk_fluid_cow_goat_buttermilk	4	food_tree_extension		TRUE
1112	Milk_dry_reconstituted	4	food_tree_extension		FALSE
112	Milk_fluid_evaporated_and_condensed	3	usda_fndds	Milk, fluid, evaporated and condensed	FALSE
1121	Milk_evaporated	4	food_tree_extension		FALSE
1122	Milk_condensed	4	food_tree_extension		FALSE
113	Milk_fluid_imitation	3	usda_fndds	Milk, fluid, imitation	TRUE
1132	Milk_soy	4	food_tree_extension		TRUE
1134	Milk_imitation	4	food_tree_extension		FALSE
1135	Milk_almond	4	food_tree_extension		TRUE
114	Yogurt	3	usda_fndds	Yogurt	TRUE
1141	Yogurt_plain	4	food_tree_extension		TRUE
1142	Yogurt_vanilla	4	food_tree_extension		FALSE
1143	Yogurt_fruit_variety	4	food_tree_extension		TRUE
1144	Yogurt_parfait	4	food_tree_extension		TRUE
1145	Yogurt_frozen_NS	4	food_tree_extension		FALSE
1146	Yogurt_frozen_flavored	4	food_tree_extension		FALSE
1148	Yogurt_baby_food	4	usda_fndds	Yogurt, baby food	FALSE
115	Flavored_milk_and_milk_drinks_fluid	3	usda_fndds	Flavored milk and milk drinks, fluid	TRUE
1151	Chololate_or_other_flavored	4	food_tree_extension		TRUE
1152	Malted_flavored	4	food_tree_extension		FALSE
1153	Eggnog	4	food_tree_extension		FALSE
1154	Milkshake	4	food_tree_extension		TRUE
1155	Milk_fruit_smoothie	4	food_tree_extension		TRUE
1156	Coffee_and_whey_flavors	4	food_tree_extension		FALSE
117	Infant_formulas_fluid_reconstituted	3	usda_fndds	Infant formulas, fluid, reconstituted concentrate, reconstituted dry, and ready-to-feed	FALSE
1171	Infant_formula_fluit	4	food_tree_extension		FALSE
1172	Infant_formula_from_powder	4	food_tree_extension		FALSE
1174	Infant_formula_from_concentrate	4	food_tree_extension		FALSE
118	Milk_dry_and_powdered_mixtures_with	3	usda_fndds	Milk, dry, and powdered mixtures with dry milk, not reconstituted	FALSE
1181	Milk_dry_not_reconstituted	4	food_tree_extension		FALSE
1182	Whey_sweet_dry	4	food_tree_extension		FALSE
1183	Milk_dry_with_flavors	4	food_tree_extension		FALSE
12	Creams_and_cream_substitutes	2	usda_fndds	Creams and cream substitutes	TRUE
121	Sweet_dairy_cream	3	usda_fndds	Sweet dairy cream	TRUE
1211	Cream_light	4	food_tree_extension		FALSE
1212	Cream_half_and_half	4	food_tree_extension		TRUE
1213	Cream_heavy	4	food_tree_extension		TRUE
1214	Cream_whipped_pressurized	4	food_tree_extension		TRUE
122	Cream_substitutes	3	usda_fndds	Cream substitutes	TRUE
1221	Cream_substitutes_NS	4	food_tree_extension		TRUE
1222	Whipped_toppings	4	food_tree_extension		FALSE
123	Sour_cream	3	usda_fndds	Sour cream	TRUE
1231	Sour_cream_NS	4	food_tree_extension		TRUE
1232	Sour_cream_nondairy	4	food_tree_extension		FALSE
1235	Dip_sour_cream_base	4	food_tree_extension		TRUE
13	Milk_desserts_sauces_gravies	2	usda_fndds	Milk desserts, sauces, gravies	TRUE
131	Milk_desserts_frozen	3	usda_fndds	Milk desserts, frozen	TRUE
1311	Ice_cream	4	food_tree_extension		TRUE
1312	Ice_cream_bar_cone_cake	4	food_tree_extension		FALSE
1313	Light_ice_cream	4	food_tree_extension		TRUE
1314	Light_ice_cream_bar_cone_cake	4	food_tree_extension		FALSE
1315	Sherbert	4	food_tree_extension		FALSE
1316	Fat_free_ice_cream	4	food_tree_extension		FALSE
1317	Baked_Alaska	4	food_tree_extension		FALSE
132	Puddings_custards_and_other_milk	3	usda_fndds	Puddings, custards, and other milk desserts	TRUE
1321	Bread_and_rice_pudding	4	food_tree_extension		TRUE
1322	Pudding_ready_to_eat	4	food_tree_extension		FALSE
1323	Pudding_ready_to_eat	4	food_tree_extension		TRUE
1324	Pudding_with_fruit	4	food_tree_extension		FALSE
1325	Mousse_or_Tiramisu	4	food_tree_extension		FALSE
133	Milk_desserts_baby_food	3	usda_fndds	Milk desserts baby food	FALSE
134	White_sauces_and_milk_gravies	3	usda_fndds	White sauces and milk gravies	FALSE
14	Cheeses	2	usda_fndds	Cheeses	TRUE
