FoodID,description,L1,L2,L3,L4,L5,L6,L7,newickstring,newickstring_name,taxonomy
25230210,Ham__prepackaged_or_deli__luncheon_meat,Meat_Poultry_Fish_and_Mixtures,Organ_meats_sausages_and_lunchmeats,Frankfurters_sausages_lunchmeats_meat_spreads,Luncheon_meats,,,,foodtreeroot/Meat_Poultry_Fish_and_Mixtures/Organ_meats_sausages_and_lunchmeats/Frankfurters_sausages_lunchmeats_meat_spreads/Luncheon_meats///25230210,foodtreeroot/L1_Meat_Poultry_Fish_and_Mixtures/L2_Organ_meats_sausages_and_lunchmeats/L3_Frankfurters_sausages_lunchmeats_meat_spreads/L4_Luncheon_meats/L5_/L6_/Ham__prepackaged_or_deli__luncheon_meat,Meat_Poultry_Fish_and_Mixtures;Organ_meats_sausages_and_lunchmeats;Frankfurters_sausages_lunchmeats_meat_spreads;Luncheon_meats;;;
24198747,Chicken_tenders_or_strips__breaded__from_other_sources,Meat_Poultry_Fish_and_Mixtures,Poultry,Chicken,Chicken_other_part_or_processed,,,,foodtreeroot/Meat_Poultry_Fish_and_Mixtures/Poultry/Chicken/Chicken_other_part_or_processed///24198747,foodtreeroot/L1_Meat_Poultry_Fish_and_Mixtures/L2_Poultry/L3_Chicken/L4_Chicken_other_part_or_processed/L5_/L6_/Chicken_tenders_or_strips__breaded__from_other_sources,Meat_Poultry_Fish_and_Mixtures;Poultry;Chicken;Chicken_other_part_or_processed;;;
11411100,Yogurt__whole_milk__plain,Milk_and_Milk_Products,Milks_and_milk_drinks,Yogurt,Yogurt_plain,,,,foodtreeroot/Milk_and_Milk_Products/Milks_and_milk_drinks/Yogurt/Yogurt_plain///11411100,foodtreeroot/L1_Milk_and_Milk_Products/L2_Milks_and_milk_drinks/L3_Yogurt/L4_Yogurt_plain/L5_/L6_/Yogurt__whole_milk__plain,Milk_and_Milk_Products;Milks_and_milk_drinks;Yogurt;Yogurt_plain;;;
27450060,Tuna_salad__made_with_mayonnaise,Meat_Poultry_Fish_and_Mixtures,Meatpoultry_fish_with_nonmeat,Meat_poultry_fish_with_vegetables,Fish_shellfish_with_vegetables_no_potatoes,,,,foodtreeroot/Meat_Poultry_Fish_and_Mixtures/Meatpoultry_fish_with_nonmeat/Meat_poultry_fish_with_vegetables/Fish_shellfish_with_vegetables_no_potatoes///27450060,foodtreeroot/L1_Meat_Poultry_Fish_and_Mixtures/L2_Meatpoultry_fish_with_nonmeat/L3_Meat_poultry_fish_with_vegetables/L4_Fish_shellfish_with_vegetables_no_potatoes/L5_/L6_/Tuna_salad__made_with_mayonnaise,Meat_Poultry_Fish_and_Mixtures;Meatpoultry_fish_with_nonmeat;Meat_poultry_fish_with_vegetables;Fish_shellfish_with_vegetables_no_potatoes;;;
58137240,Pad_Thai_with_seafood,Grain_Product,Grain_mixtures_frozen_plate_meals_soups,Mixtures_mainly_grain_pasta_or_bread,Mixtures_mainly_grain_pasta_or_bread,Pad_Thai,,,foodtreeroot/Grain_Product/Grain_mixtures_frozen_plate_meals_soups/Mixtures_mainly_grain_pasta_or_bread/Mixtures_mainly_grain_pasta_or_bread/Pad_Thai//58137240,foodtreeroot/L1_Grain_Product/L2_Grain_mixtures_frozen_plate_meals_soups/L3_Mixtures_mainly_grain_pasta_or_bread/L4_Mixtures_mainly_grain_pasta_or_bread/L5_Pad_Thai/L6_/Pad_Thai_with_seafood,Grain_Product;Grain_mixtures_frozen_plate_meals_soups;Mixtures_mainly_grain_pasta_or_bread;Mixtures_mainly_grain_pasta_or_bread;Pad_Thai;;
61204010,Lemon_juice__100___freshly_squeezed,Fruits,Citrus_fruits_juices,Citrus_fruit_juices,Grapefruit_lemon_lime_juice,,,,foodtreeroot/Fruits/Citrus_fruits_juices/Citrus_fruit_juices/Grapefruit_lemon_lime_juice///61204010,foodtreeroot/L1_Fruits/L2_Citrus_fruits_juices/L3_Citrus_fruit_juices/L4_Grapefruit_lemon_lime_juice/L5_/L6_/Lemon_juice__100___freshly_squeezed,Fruits;Citrus_fruits_juices;Citrus_fruit_juices;Grapefruit_lemon_lime_juice;;;
61210220,Orange_juice__100___canned__bottled_or_in_a_carton,Fruits,Citrus_fruits_juices,Citrus_fruit_juices,Orange_tangerine_or_juice_blend,,,,foodtreeroot/Fruits/Citrus_fruits_juices/Citrus_fruit_juices/Orange_tangerine_or_juice_blend///61210220,foodtreeroot/L1_Fruits/L2_Citrus_fruits_juices/L3_Citrus_fruit_juices/L4_Orange_tangerine_or_juice_blend/L5_/L6_/Orange_juice__100___canned__bottled_or_in_a_carton,Fruits;Citrus_fruits_juices;Citrus_fruit_juices;Orange_tangerine_or_juice_blend;;;
64105400,Cranberry_juice__100___not_a_blend,Fruits,Fruit_juices_and_nectars_excluding_citrus,Fruit_juices_excluding_citrus,,,,,foodtreeroot/Fruits/Fruit_juices_and_nectars_excluding_citrus/Fruit_juices_excluding_citrus////64105400,foodtreeroot/L1_Fruits/L2_Fruit_juices_and_nectars_excluding_citrus/L3_Fruit_juices_excluding_citrus/L4_/L5_/L6_/Cranberry_juice__100___not_a_blend,Fruits;Fruit_juices_and_nectars_excluding_citrus;Fruit_juices_excluding_citrus;;;;
61204200,Lemon_juice__100___freshly_squeezed,Fruits,Citrus_fruits_juices,Citrus_fruit_juices,Grapefruit_lemon_lime_juice,,,,foodtreeroot/Fruits/Citrus_fruits_juices/Citrus_fruit_juices/Grapefruit_lemon_lime_juice///61204200,foodtreeroot/L1_Fruits/L2_Citrus_fruits_juices/L3_Citrus_fruit_juices/L4_Grapefruit_lemon_lime_juice/L5_/L6_/Lemon_juice__100___freshly_squeezed,Fruits;Citrus_fruits_juices;Citrus_fruit_juices;Grapefruit_lemon_lime_juice;;;
64124020,Pineapple_juice__100_,Fruits,Fruit_juices_and_nectars_excluding_citrus,Fruit_juices_excluding_citrus,,,,,foodtreeroot/Fruits/Fruit_juices_and_nectars_excluding_citrus/Fruit_juices_excluding_citrus////64124020,foodtreeroot/L1_Fruits/L2_Fruit_juices_and_nectars_excluding_citrus/L3_Fruit_juices_excluding_citrus/L4_/L5_/L6_/Pineapple_juice__100_,Fruits;Fruit_juices_and_nectars_excluding_citrus;Fruit_juices_excluding_citrus;;;;
