sample,species,relab
1361G,Enterococcus_faecium,0.9951904761044436
1361I,Enterococcus_faecalis,1.3582516170452077e-4
1361I,Enterococcus_faecium,0.30553776810435357
1361J,Enterococcus_faecium,0.9124021666754987
1361K,Enterococcus_faecium,0.992269749664881
1361L,Enterococcus_faecium,0.9185890274062811
1361W,Enterococcus_faecium,0.0338754364484811
1361X,Enterococcus_faecium,0.07549987053932626
1364V,Enterococcus_avium,3.807486476123382e-5
1364V,Enterococcus_faecalis,0.0056543510051705916
1364V,Enterococcus_faecium,9.01650171646396e-4
1366C,Enterococcus_faecalis,2.9894648096343674e-4
1366C,Enterococcus_gallinarum,4.013294256931977e-5
1366D,Enterococcus_faecalis,1.0222740673956927e-4
1366D,Enterococcus_gallinarum,1.5012977796046692e-4
1366E,Enterococcus_faecalis,2.1180449940044792e-4
1366E,Enterococcus_faecium,1.1469557729266133e-4
1366E,Enterococcus_gallinarum,3.5234481344305563e-4
1366F,Enterococcus_faecalis,0.00290377168376381
1366F,Enterococcus_faecium,2.7252807675588566e-5
1366F,Enterococcus_gallinarum,8.23573858328226e-6
1366G,Enterococcus_faecalis,0.03418121569357729
1366G,Enterococcus_faecium,0.04271671323970709
1366H,Enterococcus_faecalis,0.026979431971986465
1366H,Enterococcus_faecium,0.07644671923272006
1366I,Enterococcus_faecalis,0.0343918846397553
1366I,Enterococcus_faecium,0.35286128668276096
1366J,Enterococcus_faecalis,0.0387966912419463
1366J,Enterococcus_faecium,0.29887334882427824
1366K,Enterococcus_faecalis,0.13037094849635456
1366K,Enterococcus_faecium,0.5065974787279279
1366L,Enterococcus_faecalis,0.3869936547038146
1366L,Enterococcus_faecium,0.2862755022471963
1366M,Enterococcus_faecalis,0.05063511195725045
1366M,Enterococcus_faecium,0.7873836085773693
1366N,Enterococcus_faecalis,0.04333599635461975
1366N,Enterococcus_faecium,0.5591900864594245
1366O,Enterococcus_faecalis,0.03582192404421495
1366O,Enterococcus_faecium,0.5954707440547832
1366P,Enterococcus_faecalis,0.09099908916283249
1366P,Enterococcus_faecium,0.17700066356008215
1366Q,Enterococcus_faecalis,0.07015798073968685
1366Q,Enterococcus_faecium,0.29662809510811394
1366S,Enterococcus_faecalis,0.003730889189461715
1366S,Enterococcus_faecium,0.3678928821032061
1366U,Enterococcus_faecalis,0.0025154502433724735
1366U,Enterococcus_faecium,0.2995102769675543
1371C,Enterococcus_faecium,4.041723095419326e-5
1431C,Enterococcus_faecalis,7.127300991972371e-5
1431C,Enterococcus_faecium,0.0076531075368518435
1431G,Enterococcus_faecium,0.967735850973314
1432D,Enterococcus_faecium,0.996704732611847
1432E,Enterococcus_faecium,0.999454224928577
1432G,Enterococcus_faecium,0.8511771245036351
1432H,Enterococcus_faecium,0.9965106758771265
1432I,Enterococcus_faecium,0.964443789663663
1432K,Enterococcus_faecium,0.9951143818353826
1432L,Enterococcus_faecium,0.9957137129526537
1432O,Enterococcus_faecium,0.9305180364570268
1461AA,Enterococcus_casseliflavus,0.008358826209785683
1461AA,Enterococcus_faecalis,0.6414742002898138
1461AA,Enterococcus_faecium,0.0015502549577162236
1461AA,Enterococcus_gallinarum,1.0770032341582e-4
1461CC,Enterococcus_casseliflavus,0.008229133778905858
1461CC,Enterococcus_dispar,6.522706107497631e-4
1461CC,Enterococcus_durans,9.379470152141366e-5
1461CC,Enterococcus_faecalis,0.22782542230666927
1461CC,Enterococcus_faecium,0.007416617305217816
