index_column,taxumap1,taxumap2
PP1_-6,17.954098,-4.194975
PP1_-5,15.62571,-4.167567
PP1_-4,19.120163,-1.945619
PP1_-3,20.263058,-2.7541451
PP1_-2,19.256319,-1.6028082
PP1_-1,16.391666,-3.8659666
PP1_0,14.9232235,-4.1068435
PP1_1,19.755032,-1.3379457
PP1_2,19.214827,-2.1491597
PP1_3,18.704218,-2.5014427
PP1_4,18.701664,-3.981413
PP1_5,18.44631,-4.063002
PP1_6,18.451492,-4.378546
PP1_7,18.70923,-3.91997
PP1_8,18.665321,-4.3816233
PP1_9,18.963348,-3.6113822
PP1_10,18.718685,-3.9604056
PP1_11,19.562218,-3.4403641
PP1_12,18.748545,-4.022288
PP10_-7,20.038792,-3.200764
PP10_7,19.766224,-4.689342
PP10_8,16.14537,-1.2010336
PP10_9,14.96556,-3.512207
PP10_10,16.362526,-2.6098855
PP10_11,14.7452135,-3.0288079
PP10_13,17.146374,-3.791494
PP10_14,17.392115,-1.6718011
PP10_15,18.714132,-0.85644054
PP10_16,18.876268,-0.59049803
PP10_17,18.76687,-0.7118167
PP10_18,18.85293,-0.5824877
PP10_19,18.839342,-0.5934994
PP10_20,18.803375,-0.65276134
PP10_21,18.67637,-0.7851576
PP10_22,18.82425,-0.59235215
PP10_23,18.841091,-0.63807106
PP10_24,18.708258,-0.7562803
PP10_25,18.730038,-0.74200946
PP10_26,18.705921,-0.7831632
PP10_27,18.780853,-0.6797331
PP10_28,18.830408,-0.6079889
PP100_-2,19.43368,-2.33418
PP100_-1,15.063664,-1.557452
PP100_1,18.811342,-0.64095896
PP100_2,15.291074,-1.7855704
PP100_3,17.437471,-2.1278071
PP100_6,18.080233,1.8145663
PP100_12,20.527798,-3.1660953
PP100_13,17.888176,0.52111316
PP100_14,17.821758,0.55964816
PP100_16,17.735067,0.46054992
PP100_17,19.884666,-1.2397718
PP101_-8,17.527174,-4.4141793
PP101_-7,17.285242,-1.6542919
PP101_-6,19.562077,-1.5665948
PP101_-5,15.327413,-2.56323
PP101_-4,17.283096,-4.6523805
PP101_-3,18.499178,-0.96819174
PP101_-2,19.744844,-4.226428
PP101_0,14.79117,-4.1789546
PP101_1,14.721078,-3.5953834
PP101_2,14.711686,-3.6003463
PP102_-2,17.71634,-2.2313836
PP102_-1,17.377783,-4.0034065
PP102_0,16.804552,-3.757523
PP102_1,19.687588,-2.451001
PP102_2,18.736673,-4.644994
PP102_3,17.902079,-1.7584848
PP102_4,15.931049,-4.7457643
PP102_5,18.56906,-2.1352956
PP102_6,19.093203,-3.2149642
PP102_7,17.58493,-3.4293518
PP102_8,18.711088,-2.4436142
PP102_9,18.611214,-4.2669997
PP102_10,19.303322,-2.7221947
PP102_11,18.717415,-2.8944833
PP102_12,19.264198,-3.071524
PP102_13,19.543549,-4.3002257
PP102_14,18.408175,-3.397304
PP102_15,18.739145,-3.0912013
PP103_-3,19.032074,-5.7176824
PP103_-2,18.761417,-3.1122756
PP103_-1,16.861988,-4.3424344
PP103_0,19.27528,-2.8496778
PP103_1,17.756603,-2.1493762
PP103_2,18.829485,-0.62897927
PP103_3,16.761703,-4.0490994
PP103_4,17.462868,-1.8596885
PP103_5,15.818057,-4.9363084
PP103_6,18.853373,-2.1876628
PP103_7,15.9595175,-4.494624
PP103_8,14.730819,-3.6128278
PP103_9,16.097088,-1.1853056
PP103_10,19.492344,-1.5889459
PP103_11,15.034115,-1.5276089
PP103_13,16.07488,-1.1841357
PP103_14,18.11307,1.4584503
PP103_15,16.330233,-2.56608
PP103_16,16.331902,-2.5683036
PP103_17,17.144487,-1.2075019
PP103_18,17.250265,-1.3948144
PP103_19,17.157543,-1.2306526
PP103_20,18.852835,-0.5569936
PP103_21,18.851065,-0.5738509
PP103_22,17.068115,-3.0978618
PP103_23,19.595299,-4.4375477
PP103_24,20.397892,-2.9634962
PP103_25,20.846485,-3.0299747
PP104_-4,17.921127,-3.5140114
PP104_-3,17.956354,-3.2978504
PP104_-2,17.535873,-5.009963
PP104_-1,17.557621,-3.7257197
PP104_0,17.743582,-4.226539
PP104_1,19.73106,-2.2601926
PP104_2,17.509594,-4.493581
PP104_3,16.201345,-1.3543633
PP104_4,17.048084,-3.3192277
PP104_5,20.468864,-3.0361052
PP104_6,19.30927,-1.9665639
PP104_7,18.685736,-4.676662
PP104_8,18.054422,-5.048696
PP104_9,19.850124,-4.321721
PP104_10,19.738333,-3.3940659
PP104_11,19.696903,-4.513863
PP104_12,18.436956,-4.8657203
PP104_13,19.595358,-4.5886784
PP104_14,20.594265,-3.0851185
PP104_15,15.628263,-3.462524
PP104_16,19.754087,-4.694492
PP104_17,16.656475,-3.0197513
PP105_-5,17.24941,-3.3634841
