asv_key,kingdom,phylum,class,order,family,genus,species,accession,name,unique_name,query_length,align_length,pident,nident,score,length_ratio
asv_698789,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii,NR_028961.1,Faecalibacterium_prausnitzii;Gemmiger_formicilis;326;90.184,Faecalibacterium_prausnitzii,331,326,90.184,294,229,1.01534
asv_699141,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter_petrolearius,NR_137408.1,Terrisporobacter_petrolearius;328;92.988,Terrisporobacter_petrolearius,329,328,92.988,305,259,1.00305
asv_699270,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_bromii,NR_025930.1,Ruminococcus_bromii;Ruthenibacterium_lactatiformans;332;93.976,Ruminococcus_bromii,331,332,93.976,312,274,0.996988
asv_699440,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas_umbilicata,NR_156907.1,Faecalimonas_umbilicata;326;92.945,Faecalimonas_umbilicata,332,326,92.945,303,256,1.0184
asv_699807,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,NR_024842.1,Streptococcus_cristatus;Streptococcus_parasanguinis;Streptococcus_rubneri;Streptococcus_sinensis;333;94.595,Streptococcus_parasanguinis,331,333,94.595,315,277,0.993994
asv_700070,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus]_gnavus,NR_036800.1,[Ruminococcus]_gnavus;333;94.294,[Ruminococcus]_gnavus,332,333,94.294,314,274,0.996997
asv_700516,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia_fonticola,NR_025339.1,Hafnia_psychrotolerans;Rahnella_bruchi;Rahnella_inusitata;Rahnella_variigena;Rahnella_victoriana;Rahnella_woolbedingensis;Rouxiella_badensis;Rouxiella_chamberiensis;Rouxiella_silvae;Serratia_aquatilis;Serratia_fonticola;Yersinia_entomophaga;Yersinia_nurmii;331;99.094,Serratia_fonticola,331,331,99.094,328,322,1
asv_700627,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_amyloliquefaciens,NR_041455.1,Bacillus_amyloliquefaciens;Bacillus_atrophaeus;Bacillus_nakamurai;Bacillus_subtilis;Bacillus_tequilensis;Bacillus_vallismortis;Bacillus_velezensis;330;100,Bacillus_amyloliquefaciens,332,330,100,330,330,1.00606
asv_700833,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_mojavensis,NR_024693.1,Bacillus_halotolerans;Bacillus_mojavensis;332;100,Bacillus_mojavensis,332,332,100,332,332,1
asv_701503,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_gasseri,NR_041920.1,Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_taiwanensis;326;97.853,Lactobacillus_gasseri,332,326,97.853,319,305,1.0184
asv_703725,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_pumilum,NR_028608.1,Mogibacterium_pumilum;325;92.308,Mogibacterium_pumilum,330,325,92.308,300,249,1.01538
asv_704039,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_organophilum,NR_041027.1,Methylobacterium_organophilum;330;100,Methylobacterium_organophilum,330,330,100,330,330,1
asv_704390,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_114315.1,Blautia_luti;332;93.072,Blautia_luti,332,332,93.072,309,263,1
asv_705622,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_114315.1,Blautia_luti;332;92.47,Blautia_luti,332,332,92.47,307,257,1
asv_705798,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pumilus,NR_043242.1,Bacillus_aerius;Bacillus_aerophilus;Bacillus_altitudinis;Bacillus_australimaris;Bacillus_pumilus;Bacillus_safensis;Bacillus_stratosphericus;Bacillus_xiamenensis;Bacillus_zhangzhouensis;330;94.545,Bacillus_pumilus,331,330,94.545,312,275,1.00303
asv_705871,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,NR_024842.1,Streptococcus_cristatus;Streptococcus_parasanguinis;Streptococcus_rubneri;Streptococcus_sinensis;325;91.385,Streptococcus_parasanguinis,330,325,91.385,297,240,1.01538
asv_705930,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pumilus,NR_043242.1,Bacillus_aerius;Bacillus_aerophilus;Bacillus_altitudinis;Bacillus_australimaris;Bacillus_pumilus;Bacillus_safensis;Bacillus_stratosphericus;Bacillus_xiamenensis;Bacillus_zhangzhouensis;330;94.242,Bacillus_pumilus,331,330,94.242,311,272,1.00303
asv_705937,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_choerinum,NR_037116.1,Bifidobacterium_choerinum;327;92.355,Bifidobacterium_choerinum,332,327,92.355,302,251,1.01529
asv_706129,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_jeotgali,NR_043878.1,Methylobacterium_jeotgali;330;99.091,Methylobacterium_jeotgali,330,330,99.091,327,321,1
asv_706236,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus_russellii,NR_115155.1,Peptostreptococcus_russellii;329;99.696,Peptostreptococcus_russellii,329,329,99.696,328,326,1
asv_706246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,NR_024842.1,Streptococcus_cristatus;Streptococcus_parasanguinis;Streptococcus_rubneri;Streptococcus_sinensis;327;91.131,Streptococcus_parasanguinis,330,327,91.131,298,237,1.00917
asv_706459,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massilimicrobiota,Massilimicrobiota_timonensis,NR_144738.1,Massiliomicrobiota_timonensis;327;97.554,Massiliomicrobiota_timonensis,327,327,97.554,319,303,1
asv_706666,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_114315.1,Blautia_luti;327;92.661,Blautia_luti,331,327,92.661,303,254,1.01223
asv_706674,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_caecimuris,NR_144607.1,Blautia_caecimuris;330;92.424,Blautia_caecimuris,330,330,92.424,305,251,1
asv_706753,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,Caproiciproducens_galactitolivorans,NR_145929.1,Caproiciproducens_galactitolivorans;Neglecta_timonensis;331;94.562,Caproiciproducens_galactitolivorans,331,331,94.562,313,277,1
asv_714907,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_faecis,NR_109014.1,Blautia_faecis;331;99.698,Blautia_faecis,331,331,99.698,330,328,1
asv_715568,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella_variicola,NR_025635.1,Klebsiella_variicola;331;98.489,Klebsiella_variicola,331,331,98.489,326,316,1
asv_716793,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_disporicum,NR_026491.1,Clostridium_disporicum;Clostridium_saudiense;329;94.225,Clostridium_disporicum,331,329,94.225,310,269,1.00608
asv_717453,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,Absiella_dolichum,NR_044647.2,Absiella_dolichum;323;98.142,Absiella_dolichum,323,323,98.142,317,305,1
asv_717591,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_longicatena,NR_028883.1,Dorea_longicatena;332;99.096,Dorea_longicatena,331,332,99.096,329,322,0.996988
asv_717654,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_intestinalis,NR_113165.1,Collinsella_intestinalis;328;99.695,Collinsella_intestinalis,328,328,99.695,327,325,1
asv_717675,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_coprostanoligenes,NR_104907.1,Eubacterium_coprostanoligenes;331;96.375,Eubacterium_coprostanoligenes,331,331,96.375,319,295,1
asv_717676,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,NR_024842.1,Streptococcus_cristatus;Streptococcus_parasanguinis;Streptococcus_rubneri;Streptococcus_sinensis;331;99.698,Streptococcus_parasanguinis,331,331,99.698,330,328,1
asv_717677,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_caecimuris,NR_144607.1,Blautia_caecimuris;333;98.799,Blautia_caecimuris,331,333,98.799,329,319,0.993994
asv_717701,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum_variabile,NR_028997.1,Subdoligranulum_variabile;331;98.792,Subdoligranulum_variabile,331,331,98.792,327,319,1
asv_717712,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_xylanolyticum,NR_037068.1,[Clostridium]_xylanolyticum;331;96.375,[Clostridium]_xylanolyticum,331,331,96.375,319,296,1
asv_717723,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hansenii,NR_104687.1,Blautia_hansenii;Blautia_hominis;Blautia_marasmi;Blautia_stercoris;331;97.583,Blautia_hansenii,331,331,97.583,323,307,1
asv_717740,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_coccoides,NR_104700.1,Blautia_coccoides;Blautia_hominis;Blautia_marasmi;Blautia_producta;Blautia_schinkii;332;95.783,Blautia_coccoides,331,332,95.783,318,289,0.996988
asv_717828,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_villorum,NR_036921.1,Enterococcus_villorum;326;98.466,Enterococcus_villorum,332,326,98.466,321,311,1.0184
asv_717865,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia_timonensis,NR_144740.1,Romboutsia_timonensis;329;99.392,Romboutsia_timonensis,329,329,99.392,327,323,1
asv_717876,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_algidixylanolyticum,NR_028726.1,Lachnoclostridium_pacaense;[Clostridium]_algidixylanolyticum;331;96.375,[Clostridium]_algidixylanolyticum,331,331,96.375,319,295,1
asv_717883,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;332;95.783,Blautia_luti,331,332,95.783,318,293,0.996988
asv_717893,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;98.795,Blautia_hydrogenotrophica,331,332,98.795,328,319,0.996988
asv_717911,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,Herbinix_luporum,NR_152095.1,Herbinix_luporum;332;92.169,Herbinix_luporum,331,332,92.169,306,253,0.996988
asv_717938,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii,NR_028961.1,Faecalibacterium_prausnitzii;331;96.375,Faecalibacterium_prausnitzii,331,331,96.375,319,295,1
asv_717942,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;331;95.77,Lachnoclostridium_pacaense,331,331,95.77,317,289,1
asv_717944,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,Anaerobacillus_macyae,NR_025650.1,Anaerobacillus_macyae;333;92.192,Anaerobacillus_macyae,332,333,92.192,307,253,0.996997
asv_717947,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_caecimuris,NR_144607.1,Blautia_caecimuris;332;97.892,Blautia_caecimuris,331,332,97.892,325,310,0.996988
asv_717961,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;326;92.331,Lachnoclostridium_pacaense,332,326,92.331,301,250,1.0184
asv_718002,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;96.988,Blautia_hydrogenotrophica,331,332,96.988,322,301,0.996988
asv_718004,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;331;94.562,Ruminococcus_lactaris,330,331,94.562,313,276,0.996979
asv_718022,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis,NR_040789.1,Enterococcus_canintestini;Enterococcus_canis;Enterococcus_dispar;Enterococcus_faecalis;Enterococcus_olivae;Enterococcus_rivorum;Enterococcus_saigonensis;Enterococcus_villorum;326;92.025,Enterococcus_faecalis,331,326,92.025,300,247,1.01534
asv_718032,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;331;95.468,Lachnoclostridium_pacaense,331,331,95.468,316,286,1
asv_718036,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_comes,NR_044048.1,Coprococcus_comes;331;96.375,Coprococcus_comes,331,331,96.375,319,295,1
asv_718047,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium,NR_042054.1,Carnobacterium_jeotgali;Carnobacterium_viridans;Enterococcus_avium;Enterococcus_bulliens;Enterococcus_devriesei;Enterococcus_durans;Enterococcus_faecium;Enterococcus_gilvus;Enterococcus_hirae;Enterococcus_italicus;Enterococcus_lactis;Enterococcus_malodoratus;Enterococcus_mundtii;Enterococcus_pallens;Enterococcus_pseudoavium;Enterococcus_raffinosus;Enterococcus_ratti;Enterococcus_sulfureus;Enterococcus_viikkiensis;Enterococcus_xiangfangensis;Lacticigenium_naphtae;Melissococcus_plutonius;316;93.038,Enterococcus_faecium,332,316,93.038,294,249,1.05063
asv_718057,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas_umbilicata,NR_156907.1,Faecalimonas_umbilicata;331;96.979,Faecalimonas_umbilicata,331,331,96.979,321,301,1
asv_718060,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_algidixylanolyticum,NR_028726.1,Lachnoclostridium_pacaense;[Clostridium]_algidixylanolyticum;331;96.073,[Clostridium]_algidixylanolyticum,331,331,96.073,318,292,1
asv_718067,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;98.795,Blautia_hydrogenotrophica,331,332,98.795,328,319,0.996988
asv_718078,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas_umbilicata,NR_156907.1,Faecalimonas_umbilicata;331;97.885,Faecalimonas_umbilicata,331,331,97.885,324,310,1
asv_718081,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium,NR_042054.1,Enterococcus_avium;Enterococcus_bulliens;Enterococcus_devriesei;Enterococcus_durans;Enterococcus_faecium;Enterococcus_gilvus;Enterococcus_hirae;Enterococcus_italicus;Enterococcus_lactis;Enterococcus_malodoratus;Enterococcus_mundtii;Enterococcus_pallens;Enterococcus_pseudoavium;Enterococcus_raffinosus;Enterococcus_ratti;Enterococcus_sulfureus;Enterococcus_viikkiensis;Enterococcus_xiangfangensis;Lacticigenium_naphtae;Melissococcus_plutonius;316;93.671,Enterococcus_faecium,332,316,93.671,296,255,1.05063
asv_718092,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta,NR_037089.1,Eggerthella_lenta;333;94.294,Eggerthella_lenta,332,333,94.294,314,272,0.996997
